East_Anglia Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910   45.4   58.6   22.5   52.2   74.7   49.5   75.2   57.4   28.9   45.0   80.3  103.6     ---  149.4  182.1  154.1   693.2
1911   38.3   33.3   55.1   28.3   32.3   68.2   11.7   27.4   45.1   63.3   83.4   98.4   175.1  115.7  107.3  191.8   584.8
1912   74.3   35.9   68.5    5.8   36.8   69.6   74.5  177.7   59.0   52.2   59.1   63.5   208.6  111.0  321.7  170.4   776.8
1913   66.9   17.7   53.2   53.9   45.8   29.9   42.9   31.2   41.1   86.7   56.3   18.2   148.1  152.9  104.0  184.1   543.9
1914   34.9   39.9   90.8   18.3   30.2   45.2   53.5   30.2   25.2   52.0   66.3  145.7    93.0  139.3  128.9  143.5   632.2
1915   73.4   69.2   36.0   21.1   52.3   28.1  101.3   64.8   38.4   37.8   68.6  104.9   288.3  109.5  194.3  144.7   696.0
1916   34.6   93.7   94.2   37.8   48.5   62.3   36.6   90.4   33.3   62.3   83.2   72.3   233.2  180.4  189.3  178.8   749.2
1917   45.2   19.4   49.3   43.6   30.8   48.6   78.3  115.2   44.3   88.8   38.7   25.7   136.9  123.7  242.1  171.8   627.9
1918   62.7   23.1   20.0   74.8   45.5   23.1   96.7   35.6  127.0   47.4   50.7   66.9   111.5  140.3  155.4  225.2   673.6
1919   76.9   69.3   61.2   66.7   12.5   32.7   70.9   58.3   26.6   37.1   49.7   98.7   213.2  140.4  161.9  113.4   660.6
1920   52.2   14.7   34.4   85.3   34.0   40.3   81.7   39.9   62.7   22.2   20.2   59.9   165.6  153.8  161.9  105.1   547.5
1921   49.0    8.8   24.2   34.2   27.9    9.5    8.6   38.7   37.2   31.0   41.4   36.0   117.6   86.3   56.7  109.6   346.4
1922   81.1   51.9   42.7   65.3   26.2   33.0   97.7   52.7   71.0   24.1   34.8   52.8   168.9  134.1  183.4  129.8   633.2
1923   35.8   73.9   41.1   30.1   34.0   16.1   60.0   59.3   47.7   95.1   55.3   64.4   162.6  105.2  135.4  198.1   612.8
1924   58.4   25.7   16.3   63.5   97.0   46.6   73.6   56.8   71.6   98.9   58.4   60.2   148.6  176.8  177.0  229.0   727.1
1925   29.9   57.8   30.6   48.6   55.3   10.4   56.2   65.6   72.4   64.2   57.6   53.0   147.9  134.6  132.1  194.3   601.6
1926   62.6   55.5    7.5   76.1   42.9   70.0   54.8   37.4   37.8   63.6   89.6   16.2   171.1  126.4  162.1  191.0   613.9
1927   42.7   67.5   49.3   46.3   20.5   90.1   69.0   81.6   98.7   49.6   72.5   60.3   126.4  116.2  240.6  220.9   748.2
1928   83.3   31.7   42.3   30.7   44.8   60.2   55.3   51.9   18.9   70.5   55.5   69.9   175.3  117.8  167.4  144.8   614.8
1929   39.1   14.8    2.0   31.7   33.7   23.2   65.0   27.5   15.5   75.7  104.8  106.2   123.7   67.5  115.7  195.9   539.0
1930   47.8   18.7   35.2   50.1   69.4   24.5   90.2   65.3  108.8   23.0   91.1   52.9   172.7  154.7  179.9  222.9   676.9
1931   45.8   57.2    7.8   82.0   71.7   38.3   85.6   91.0   58.4   19.6   50.9   24.7   155.9  161.6  214.9  129.0   633.1
1932   26.7   11.7   37.2   63.4   96.2   15.0   71.5   52.5   48.3  108.3   34.6   12.5    63.1  196.8  139.0  191.2   577.9
1933   29.9   40.8   50.0   26.2   42.4   52.2   37.7   20.9   61.6   53.7   43.7   13.1    83.1  118.6  110.8  159.0   472.1
1934   32.8   11.1   43.9   53.6   26.5   34.8   38.2   46.3   41.4   37.6   41.3   96.0    56.9  123.9  119.3  120.3   503.4
1935   50.4   53.9   14.2   67.3   31.7   69.5   18.5   37.3   90.4   63.7   92.4   54.8   200.3  113.2  125.3  246.5   644.1
