England_NW_and_N_Wales Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910  137.5  153.9   52.1   95.0   76.3   85.2  125.8  169.5   14.9   95.9  158.4  158.7     ---  223.3  380.4  269.3  1323.1
1911   52.0  128.4   58.2   80.4   53.4   94.7   23.6  104.8  114.3  116.9  150.8  213.8   339.1  192.0  223.1  382.0  1191.3
1912  109.7   72.7  173.4   20.0   61.3  150.4  127.4  190.2   50.7  138.3  126.9  149.2   396.3  254.7  468.0  315.9  1370.2
1913  131.6   63.2  151.6  137.4   81.2   86.0   41.0   71.0   84.5  104.9  137.8   94.6   344.0  370.2  198.0  327.2  1184.8
1914   98.8  128.7  138.8   35.5   67.7   57.6  132.9   95.2   84.3   55.0  157.0  220.0   322.0  242.0  285.7  296.4  1271.6
1915  151.0  165.4   55.0   67.7   58.4   37.4  126.5  117.1   34.2   59.5   86.2  226.4   536.4  181.1  281.0  179.9  1184.8
1916  113.2  145.8   74.5   86.5  101.1   79.7   77.7   89.1   91.4  214.0  132.9  101.5   485.5  262.0  246.5  438.3  1307.3
1917   71.3   43.8   82.9   72.8   80.6   70.9   52.5  230.9   89.1  205.0  132.5   69.5   216.6  236.3  354.3  426.6  1201.9
1918  116.7  147.8   54.6   40.4   82.2   56.3  128.1   96.8  287.1  137.9   87.0  210.6   334.0  177.2  281.1  512.1  1445.6
1919  137.9   49.8  173.8   75.6   43.2   64.4   46.9  111.6   94.7   89.6   90.2  195.5   398.3  292.6  222.9  274.5  1173.2
1920  156.3  122.6  167.0  146.3  142.6   81.7  184.4   76.0  102.3   67.9   73.3  108.1   474.3  455.8  342.1  243.5  1428.4
1921  201.0   10.8  136.5   44.3   69.9   12.4   67.0  173.9   51.1   91.1   81.2  168.8   319.9  250.6  253.3  223.4  1107.9
1922  136.8  148.4   87.5   78.0   52.7   67.3  144.3  117.4  113.9   37.7   71.0  175.1   454.0  218.2  329.0  222.6  1230.1
1923  111.2  191.5   49.1   96.4  100.8   34.5  116.0  180.2  141.8  206.5  173.3  142.8   477.8  246.4  330.8  521.6  1544.2
1924  115.5   28.6   45.5   75.0  160.0   83.4  142.9  145.9  165.8  140.9   88.3  190.3   286.9  280.5  372.2  395.0  1382.1
1925  110.2  191.6   47.5   94.4  132.6    5.0   68.7  122.0  126.9  157.2   84.8  118.6   492.0  274.5  195.7  368.9  1259.5
1926  142.5  132.7   51.3   60.6   91.8   75.5  121.4  123.1  122.0  115.3  196.9   41.2   393.8  203.6  320.0  434.2  1274.2
1927  140.1   80.2  128.0   74.9   55.3  130.9  115.7  204.7  193.0  130.8  153.4   49.2   261.6  258.3  451.3  477.1  1456.3
1928  267.8  153.5   93.1   44.9   40.0  173.6   98.2  166.5   60.3  178.6  222.0  103.6   470.6  178.0  438.3  460.8  1602.0
1929   54.3   34.5   27.0   43.7   73.0   62.0  112.8  148.6   60.3  184.9  253.4  237.9   192.4  143.7  323.4  498.6  1292.4
1930  196.1   14.4   93.4   79.3   54.3   60.6  138.5  176.5  107.0  201.6  168.6  153.3   448.3  227.0  375.6  477.2  1443.5
1931  132.0  132.0   25.9   98.7   94.7  160.2  127.1  143.7   91.8   83.0  224.2   90.4   417.4  219.3  431.0  398.9  1403.7
1932  169.3    4.4   90.8  115.3  118.0   38.4  156.6   46.9  137.3  208.6  103.4  105.8   264.1  324.0  242.0  449.3  1294.7
1933  115.3  125.5   83.3   42.8   59.3   75.3   83.0   61.0   34.1  140.5   52.3   33.2   346.5  185.4  219.3  226.8   905.5
1934  135.3   10.2   86.8   82.6   94.9   65.2   50.1  130.8  118.2  177.8   55.5  198.7   178.8  264.3  246.1  351.4  1206.1
1935   66.0  172.8   39.6  104.1   34.6  124.2   43.3   66.5  208.7  211.3  148.3   95.9   437.4  178.3  234.1  568.2  1315.3
1936  153.5   76.6   79.0   42.4   39.7  118.3  142.6   66.0  142.2  108.5  146.4  167.2   326.0  161.1  326.9  397.1  1282.4
1937  130.2  187.5   65.6   93.1   60.7   61.7   73.1   61.9   81.9   88.7   52.9   95.9   484.9  219.4  196.6  223.5  1053.2
1938  168.8   54.4   57.0   13.0   96.2  132.0  143.4  104.3   65.9  249.8  187.4  133.5   319.1  166.2  379.7  503.1  1405.6
