Midlands Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910   72.2   84.4   19.8   61.6   55.7   65.0   69.9  106.0   14.4   77.5  110.5  130.1     ---  137.2  240.9  202.4   867.3
1911   27.7   52.5   45.7   32.5   34.8   60.3    9.7   50.4   49.9   64.9   81.7  142.9   210.3  113.0  120.5  196.5   653.0
1912  106.8   46.7  103.0    7.7   67.8  117.6  104.8  165.7   32.9   81.0   58.8   93.6   296.5  178.4  388.1  172.7   986.4
1913  103.0   29.4  108.1   90.6   60.3   29.4   28.1   36.1   55.5   93.6   72.9   38.4   226.0  258.9   93.7  222.1   745.5
1914   37.7   57.8   82.6   29.1   41.9   63.8   92.3   51.6   35.3   57.2   93.9  163.0   133.9  153.5  207.6  186.5   806.0
1915   91.7  100.8   29.3   30.8   59.7   31.5  135.6   74.8   28.5   59.1   63.8  149.2   355.5  119.7  241.9  151.4   854.6
1916   41.5  116.9  106.4   38.8   66.0   51.2   50.1   73.6   37.2  109.7   84.5   72.2   307.5  211.3  174.8  231.4   848.0
1917   56.9   26.3   58.2   44.2   68.0   61.7   50.6  147.5   45.2  105.4   45.0   33.7   155.4  170.4  259.9  195.6   742.8
1918   66.3   55.7   33.4   55.3   60.1   24.5   89.5   49.7  164.3   47.0   51.1   99.5   155.7  148.7  163.7  262.5   796.4
1919  101.5   63.6  119.8   52.0   28.8   29.2   71.4   68.9   48.9   64.4   50.3  115.5   264.6  200.6  169.5  163.6   814.3
1920   89.1   46.6   70.2  119.5   69.6   67.7  123.8   34.4   54.6   60.8   32.5   71.4   251.2  259.4  225.9  147.8   840.2
1921   86.0    7.6   43.1   31.9   41.8   11.4   18.3   94.4   32.3   51.9   53.6   68.6   165.0  116.8  124.1  137.7   540.9
1922   94.9   82.4   58.4   75.1   28.8   30.4  113.9  118.4   67.3   20.8   37.1  100.6   246.0  162.3  262.7  125.2   828.1
1923   49.9  135.1   46.3   63.4   61.4   16.1   87.7   74.8   73.9  103.5   68.7   82.4   285.6  171.1  178.6  246.0   863.2
1924   74.4   19.9   30.1   67.3  127.6   58.2   96.9   83.8   93.4  110.8   60.5   93.2   176.7  224.9  238.9  264.7   916.0
1925   61.6   98.8   23.7   56.9   95.7    2.2   63.4   70.1   89.6   93.1   51.8   73.2   253.6  176.4  135.6  234.5   780.1
1926   90.3   65.1   21.5   58.0   78.1   59.3   60.9   62.2   41.2   72.7  135.1   21.4   228.6  157.7  182.4  249.0   765.9
1927   72.2   63.6   70.9   53.3   33.8   97.2   82.6  117.9  122.3   62.0   84.2   65.4   157.2  158.0  297.7  268.5   925.5
1928  136.8   69.3   60.7   31.6   30.1   87.0   42.1   78.8   21.3  122.2   98.5   60.9   271.5  122.4  207.9  242.0   839.3
1929   39.3   18.2    6.8   28.3   48.2   38.0   52.6   56.8   24.2  103.1  169.3  156.1   118.4   83.3  147.4  296.6   741.0
1930  118.0   17.3   64.7   74.3   56.3   40.2  115.6   84.1   99.5   77.9   96.2   80.9   291.5  195.3  239.9  273.6   925.0
1931   57.0   71.8    8.2   95.1   87.6   99.9   95.5  117.8   75.6   24.2  108.8   33.5   209.8  190.9  313.1  208.5   875.0
1932   69.2    7.6   50.4   82.8  146.3   24.8   92.2   53.4   74.1  114.5   52.7   30.9   110.3  279.4  170.4  241.3   798.7
1933   55.0   92.0   67.6   28.9   48.4   54.2   53.1   21.0   43.2   99.4   38.2   12.9   177.8  144.9  128.3  180.9   613.9
1934   65.9   11.1   57.4   63.3   33.7   32.9   42.6   58.0   55.3   57.4   51.7  134.2    89.9  154.4  133.5  164.4   663.6
1935   31.2   79.8   20.4   91.5   25.5   87.0   18.7   45.5  120.3  114.2  132.7   87.2   245.2  137.5  151.2  367.2   854.0
1936   99.6   61.6   52.8   48.0   26.4   97.4  129.8   26.6   84.3   54.3   80.0   72.9   248.4  127.2  253.8  218.6   833.9
1937   99.1  114.8   73.0   69.9   72.4   33.5   68.8   27.8   48.4   73.8   41.9   70.2   286.8  215.3  130.1  164.2   793.6
1938   89.8   25.5   11.3    4.3   59.8   48.6   79.2   83.5   53.8  103.7   91.7   98.0   185.6   75.3  211.4  249.2   749.3
1939  142.6   43.6   48.4   55.8   31.9   52.0  127.8   66.7   26.8   92.9  120.0   50.1   284.1  136.1  246.4  239.7   858.5
1940   71.2   65.4   56.8   64.9   43.0   22.0   90.3   11.6   37.9   99.6  168.8   54.5   186.7  164.7  124.0  306.3   786.1
1941   85.6   78.2   80.9   40.1   59.3   35.1   85.8  102.9   16.0   75.0   77.0   38.6   218.4  180.2  223.8  167.9   774.4
1942   86.0   26.8   54.0   35.8   92.2   16.2   58.8   79.1   43.2   76.2   39.1   77.6   151.4  181.9  154.1  158.4   684.8
1943  125.9   37.6   25.6   31.6   76.2   54.5   36.6   64.6   70.7   61.3   53.3   35.2   241.1  133.4  155.7  185.2   673.0
1944   76.8   39.5   10.1   54.1   35.5   57.3   64.0   73.1   96.0   93.3  121.2   55.8   151.6   99.8  194.4  310.6   776.8
1945   60.8   64.6   25.4   38.2   71.8   75.2   54.9   67.2   47.8  105.5   11.0   77.7   181.2  135.3  197.3  164.2   700.0
1946   71.2   81.6   27.3   43.5   63.3   72.4   60.1  134.1  108.3   27.9  145.4   74.4   230.6  134.1  266.6  281.6   909.5
1947   61.1   48.3  148.4   67.4   57.2   50.3   67.1   13.2   42.1   13.5   62.8   64.9   183.8  272.9  130.5  118.4   696.0
1948  147.4   41.1   30.5   48.8   65.9   78.8   35.9  104.6   66.5   64.0   42.2   96.6   253.4  145.1  219.4  172.8   822.5
1949   37.3   33.1   39.9   63.8   62.7   15.6   61.3   45.0   39.5  127.0   90.9   68.0   167.0  166.4  121.9  257.3   684.0
1950   27.5  127.6   33.9   65.3   51.0   43.0   79.3  100.1  101.8   31.7  115.9   47.2   223.2  150.3  222.4  249.3   824.3
1951   73.7   87.6  102.8   59.8   85.3   30.2   38.8  118.9   60.4   26.6  169.7   79.3   208.5  247.9  187.9  256.7   933.1
1952   68.3   18.6   59.1   53.9   67.6   52.1   28.2   90.2   58.3   99.5   64.9   70.5   166.2  180.6  170.5  222.6   731.2
1953   25.4   46.1   30.4   65.9   51.5   61.5   82.8   78.2   61.5   58.6   51.1   31.0   142.0  147.8  222.5  171.3   644.1
1954   48.5   68.6   61.6   12.5   75.0   82.0   73.7  119.9   72.0  104.1  148.5   79.1   148.0  149.1  275.7  324.5   945.4
1955   64.8   50.0   62.9   30.0  105.5   80.3   20.5   18.9   40.4   48.6   58.8   78.0   193.9  198.4  119.7  147.7   658.6
1956  106.1   20.0   27.1   44.2   19.0   68.7   93.6  142.1   72.8   45.7   25.1   87.0   204.1   90.3  304.5  143.7   751.6
1957   51.8   73.5   57.9    7.3   38.4   44.0   99.1  108.6  123.3   53.6   54.6   68.9   212.3  103.6  251.7  231.5   781.0
1958   74.9  110.6   41.5   21.1   70.4  111.6  104.1   77.0  103.5   70.4   48.2   86.1   254.4  133.0  292.8  222.1   919.4
1959   92.7    6.3   56.6   79.5   26.4   37.3   51.9   28.9    3.9   67.2   89.9  134.2   185.1  162.4  118.1  161.0   674.7
1960  128.1   64.5   43.1   34.1   39.2   57.0   98.8  100.6  108.4  148.3  119.3   91.5   326.8  116.4  256.4  376.0  1032.9
1961   86.5   57.3   10.9   96.3   31.0   34.2   63.7   68.2   60.0   80.0   46.6   87.3   235.3  138.2  166.1  186.7   722.1
1962   82.6   30.7   32.0   66.0   58.5   13.3   50.1  107.8   88.4   25.8   49.8   55.5   200.6  156.5  171.1  164.1   660.6
1963   26.8   21.0   81.2   62.7   41.5   78.2   46.7   78.0   61.2   48.0  126.1   19.5   103.2  185.4  202.9  235.3   690.8
1964   22.8   25.7   86.8   53.7   48.4   68.6   49.8   42.8   23.6   41.7   39.3   79.0    68.0  188.9  161.2  104.6   582.2
1965   78.8   14.7   66.8   53.0   54.1   65.0   91.2   53.1  132.4   25.2   85.6  149.4   172.6  173.9  209.3  243.2   869.3
1966   42.6  111.2   33.4   94.8   66.3   72.9   67.7   96.9   44.6  104.8   68.8   94.0   303.2  194.5  237.5  218.2   898.1
1967   43.8   75.1   48.5   34.9  137.7   32.6   47.3   66.9   80.4  141.0   55.7   64.1   212.9  221.2  146.8  277.1   828.0
1968   70.1   35.9   47.8   62.1   78.2   75.3  109.7   57.5  126.0   70.3   68.5   58.8   170.1  188.0  242.5  264.8   860.1
1969   74.0   64.6   68.0   55.4  124.7   44.4   57.5   75.6   34.1   14.2  102.7   70.3   197.3  248.1  177.5  150.9   785.3
1970   86.6   71.9   57.4   80.0   21.4   44.0   59.2   85.5   46.8   43.4  145.6   36.6   228.8  158.8  188.7  235.9   778.4
1971   90.4   28.5   56.1   55.3   44.8   84.9   41.0  107.8   24.6   69.4   72.1   33.6   155.5  156.2  233.8  166.1   708.6
1972   85.4   63.6   72.4   53.0   67.2   67.0   54.8   35.6   44.0   30.4   74.5   93.4   182.6  192.6  157.4  148.9   741.4
1973   36.4   35.9   20.6   64.1   74.8   67.5   98.5   49.1   57.9   46.2   42.2   51.3   165.7  159.5  215.1  146.3   644.5
1974   95.2   82.1   39.0   10.0   33.1   61.6   69.0   81.1  111.6   70.7   94.0   55.8   228.6   82.1  211.6  276.3   803.1
1975   85.7   27.4   72.6   58.5   35.9   15.3   60.8   42.7   70.6   27.1   47.7   44.7   168.9  167.0  118.8  145.4   589.0
1976   52.2   33.9   38.2   16.0   63.3   17.3   25.3   31.0  142.1  119.6   49.5   80.5   130.8  117.4   73.5  311.1   668.7
1977   82.4  140.8   58.1   48.2   44.5   95.8   16.3   91.7   29.3   47.3   85.3   76.4   303.7  150.8  203.8  161.9   816.0
1978   90.4   57.0   61.6   42.1   38.3   60.9   75.7   61.2   51.1   13.9   44.7  148.4   223.8  142.0  197.8  109.7   745.4
1979   67.6   54.0  108.7   63.3  113.9   29.7   25.6   81.3   32.0   57.0   69.6  137.4   270.0  285.8  136.5  158.6   840.0
1980   66.5   82.6   88.5   15.5   29.1  110.9   59.5   90.5   60.5  108.1   71.2   57.1   286.5  133.1  260.9  239.8   840.0
1981   52.2   52.7  128.5   62.9   80.1   37.7   34.9   53.4  125.7   88.7   53.5   77.8   162.1  271.5  126.1  267.9   848.2
1982   59.9   32.9   92.9   24.4   32.1  133.1   28.1   82.4   70.1   71.9   94.8   75.6   170.7  149.5  243.5  236.8   798.2
1983   79.1   30.0   54.4  106.6  110.3   21.6   43.3   27.1   87.8   63.2   41.9   93.7   184.8  271.4   92.0  192.9   759.2
1984  113.2   51.2   54.9    8.6   58.2   44.3   17.9   61.7  102.6   73.1  125.6   54.1   258.1  121.7  124.0  301.3   765.4
1985   55.5   28.1   49.4   60.3   71.2   95.5   60.6   84.7   28.4   45.4   65.6  100.7   137.7  181.0  240.8  139.4   745.5
1986  107.3   16.5   64.6   81.6   78.9   37.0   42.0  113.9   16.7   76.1   93.9  112.4   224.5  225.1  192.9  186.6   840.9
1987   23.9   44.8   74.9   60.1   40.7  112.3   55.0   59.6   53.4  132.1   63.9   43.7   181.2  175.7  226.9  249.4   764.5
1988  123.1   53.0   86.3   34.3   51.5   45.7  118.2   70.5   46.6   67.5   38.8   35.7   219.9  172.1  234.4  152.9   771.3
1989   33.7   66.5   66.9   90.1   25.4   54.7   41.9   44.9   35.7   81.5   49.9  127.2   135.9  182.4  141.4  167.2   718.4
1990  106.2  110.4   20.0   31.3   17.5   60.9   28.2   37.2   42.3   90.0   47.1   85.2   343.9   68.8  126.2  179.5   676.4
