England_SE_and_Central_S Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910   73.3  100.6   32.2   57.5   56.5   81.7   64.6   66.8   11.6   98.4  106.7  119.2     ---  146.2  213.1  216.7   869.2
1911   36.4   43.0   58.0   45.1   37.4   53.8    9.3   27.2   34.1  105.7  117.8  180.6   198.6  140.6   90.4  257.6   748.5
1912   96.3   63.1  108.8    2.3   35.5   93.4   52.6  156.0   68.7   93.5   56.3  102.2   340.1  146.5  302.0  218.5   928.7
1913  110.9   28.8   76.6   80.6   52.5   16.6   51.9   44.6   61.7  112.8   85.7   42.3   242.0  209.7  113.1  260.2   765.1
1914   20.1  101.1  126.5   33.6   35.5   32.6   66.3   44.9   30.0   63.4  101.5  204.9   163.6  195.6  143.8  194.9   860.5
1915  105.6  126.6   24.4   33.5   90.9   25.9  106.4   54.5   64.9   85.8   73.5  182.2   437.1  148.8  186.9  224.2   974.2
1916   36.8  123.4  103.3   29.2   50.3   59.6   30.3   90.1   44.8  127.3  120.6   96.4   342.4  182.8  180.0  292.8   912.1
1917   38.0   26.5   58.4   53.8   50.9   71.5  102.9  142.3   43.8  111.2   31.8   44.3   160.8  163.1  316.7  186.9   775.4
1918   89.9   33.0   27.2   71.2   45.0   26.8  123.0   42.4  147.8   48.4   64.4   66.9   167.2  143.4  192.2  260.6   786.0
1919  118.2   67.6  112.9   68.3   11.3   25.2   54.2   70.4   42.6   25.2   59.0  131.6   252.7  192.4  149.8  126.9   786.5
1920   90.9   18.3   47.6   88.2   34.8   50.8  127.4   39.5   64.1   54.9   39.9   74.7   240.8  170.6  217.7  158.9   731.1
1921   75.3   11.5   36.2   27.5   39.5    4.6    9.6   43.4   32.5   26.3   52.4   47.5   161.5  103.1   57.6  111.2   406.2
1922   97.2   70.8   57.5   83.5   23.7   35.7   95.8   79.0   54.6   33.0   44.3   97.2   215.5  164.8  210.6  131.8   772.4
1923   42.1  121.6   57.0   68.5   64.2   12.6   41.4   59.5   56.0  153.3   50.2   81.3   260.9  189.7  113.4  259.4   807.5
1924   76.5   14.6   34.5   82.1  102.0   63.0  103.1   76.4   99.5  112.8   76.0  117.9   172.4  218.6  242.5  288.3   958.4
1925   80.2  112.4   18.3   66.2   83.1    3.3   94.4   72.5   76.3   93.6   70.5   94.8   310.5  167.5  170.1  240.3   865.5
1926  101.1   62.4   13.1   92.1   54.3   74.7   50.7   40.9   23.4   73.9  172.6   14.2   258.4  159.5  166.2  269.9   773.3
1927   65.8  108.0   85.5   48.7   25.6   87.4   87.6  104.9  138.8   51.1   84.2  108.2   188.0  159.7  279.9  274.0   995.6
1928  117.4   48.2   59.7   52.6   45.7   64.5   47.8   60.4   28.3  151.5   84.3   80.8   273.8  157.9  172.7  264.1   841.1
1929   34.7   21.9    2.9   25.5   49.2   38.0   42.0   50.2   13.4  104.7  189.3  178.2   137.5   77.6  130.3  307.4   750.0
1930  101.7   28.0   40.0   54.0   62.5   22.1   63.5   87.3   88.3   49.6  132.1   79.7   307.9  156.5  173.0  270.0   808.9
1931   55.2   56.9   12.5   85.9   73.3   51.0   90.0  106.1   51.9   16.4  101.6   21.8   191.8  171.7  247.1  169.9   722.6
1932   70.5    7.2   43.6   69.8  107.6   36.9   83.6   30.0   73.2  154.7   40.6   23.1    99.5  221.0  150.4  268.5   740.8
1933   57.4   85.2   77.7   28.9   52.6   48.5   51.0   21.8   84.2   53.1   27.3   16.5   165.7  159.2  121.3  164.6   604.1
1934   63.9    4.1   72.1   58.1   19.7   36.1   40.6   64.0   49.9   48.1   69.9  196.4    84.5  150.0  140.7  167.9   723.0
1935   26.4   91.8   15.6   93.4   35.7   89.0   23.4   80.0  113.0  111.9  161.6   99.0   314.6  144.7  192.5  386.5   940.9
1936  123.6   60.8   48.7   49.3   14.2   82.4  105.8   18.1   75.3   48.2  101.9   74.7   283.5  112.2  206.4  225.4   803.1
1937  144.5  130.0  101.1   68.0   69.8   40.6   34.9   37.8   59.1   90.0   44.7  106.5   349.2  239.0  113.4  193.8   927.1
1938   88.7   20.6   10.0    6.0   52.3   20.7   54.8   58.0   57.1   90.5  102.5   95.4   215.7   68.3  133.5  250.1   656.5
1939  138.2   38.5   37.9   69.0   37.0   43.5   91.8   60.6   28.3  161.1  148.6   45.1   272.1  143.9  195.9  338.1   899.7
1940   69.1   68.2   76.1   41.0   29.5   16.5   76.9    3.0   40.6   97.5  197.0   49.6   182.3  146.6   96.5  335.1   765.0
1941   79.2   73.7   79.7   42.6   49.4   47.5   74.4  115.0   12.1   34.7   80.3   50.5   202.4  171.7  236.8  127.1   738.9
1942   80.8   18.8   62.7   39.2   87.8    9.6   51.7   78.7   52.7   99.7   47.8   92.9   150.1  189.7  139.9  200.2   722.4
1943  146.6   38.3   14.1   28.6   68.2   37.1   53.0   44.4   46.6   84.6   45.8   53.6   277.8  111.0  134.5  177.0   661.0
1944   51.3   23.6    5.3   39.4   16.7   46.6   63.5   62.1   62.9  116.3  130.1   59.7   128.5   61.4  172.2  309.2   677.3
1945   50.3   52.6   28.0   28.6   56.3   60.0   76.0   49.6   52.8   84.9   11.7  103.5   162.6  112.8  185.6  149.5   654.3
1946   63.3   72.6   32.9   58.3   87.9   75.0   49.0  125.3  102.1   33.5  136.5   78.4   239.4  179.1  249.3  272.1   914.9
1947   62.5   43.5  151.9   54.0   39.6   55.4   51.0   11.8   34.7   15.8   39.0   73.9   184.4  245.6  118.1   89.4   633.0
