England_SW_and_S_Wales Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910  138.8  166.6   37.3   87.0   71.6  109.6   98.6  160.7    9.8  150.4  169.9  215.8     ---  195.9  369.0  330.1  1416.2
1911   49.6   86.3   77.1   72.3   48.9   83.2   15.0   78.2   76.6  120.2  165.5  293.0   351.7  198.3  176.4  362.2  1165.8
1912  138.3  103.2  197.5    9.8   50.3  153.1  103.7  254.3   33.2  153.7   96.4  191.8   534.5  257.6  511.0  283.3  1485.2
1913  198.0   54.0  165.2  148.2   92.1   54.2   23.1   47.7   97.4  133.7  155.2   87.9   443.7  405.6  125.0  386.2  1256.6
1914   63.7  144.6  190.3   50.6   60.2   58.6  138.7  104.0   73.4   82.7  144.7  258.7   296.2  301.1  301.4  300.8  1370.2
1915  130.7  207.4   33.3   47.1   78.9   54.1  133.4   68.4   43.4  135.1   90.7  266.9   596.8  159.3  255.9  269.3  1289.5
1916   83.4  183.5   97.4   53.6   79.2   72.5   46.2  114.9   78.3  230.0  146.4  117.7   533.8  230.3  233.6  454.7  1303.2
1917   47.8   42.2   95.1   59.3   79.1   92.9   77.6  222.2   72.7  183.4   76.8   39.5   207.7  233.5  392.8  332.9  1088.6
1918  138.4   87.4   63.6   59.5   51.4   41.2  135.3   78.7  238.9   94.0  103.7  188.5   265.3  174.5  255.2  436.5  1280.6
1919  168.8  115.1  163.4   71.2   31.5   44.3   45.9   95.0   65.4   61.2   92.0  214.2   472.4  266.2  185.1  218.6  1168.0
1920  183.3   51.8  138.1  159.3   81.3   83.6  163.0   58.6   90.7  124.1   70.9  136.7   449.3  378.7  305.2  285.7  1341.2
1921  147.2    8.0  104.7   29.8   59.4   10.2   45.4  109.9   50.7   52.3   98.9   93.7   291.9  193.9  165.6  201.9   810.2
1922  142.0  135.2  109.0  101.3   37.0   39.0  134.6  110.8   95.0   44.7   63.3  174.8   370.8  247.2  284.5  203.1  1186.8
1923   86.7  256.2   53.2   92.4   73.2   22.4   72.1  101.8  104.3  198.4  111.2  127.0   517.7  218.8  196.3  413.9  1298.8
1924  151.0   28.4   57.2  101.3  123.8   75.2  144.0  137.7  159.6  181.5  107.8  190.4   306.4  282.2  356.9  448.8  1457.7
1925  129.5  183.4   27.0   88.1  134.3    1.7   92.2  118.7  114.9  146.6   92.4  133.8   503.2  249.5  212.5  353.9  1262.6
1926  175.6   96.8   26.7   70.5   62.7   73.6   82.4   90.0   48.0  108.0  256.5   23.5   406.2  159.9  246.0  412.5  1114.4
1927  153.4  108.4  123.3   60.6   38.3  101.3  127.4  154.2  178.2   96.9  123.2  105.4   285.3  222.2  382.9  398.4  1370.7
1928  226.0  121.9  119.5   48.7   31.0   99.0   70.9   98.7   48.5  209.5  172.7  139.7   453.3  199.2  268.6  430.6  1386.0
1929   57.7   51.9   18.2   26.1   98.2   71.8   70.2   90.7   28.4  193.2  327.7  280.2   249.3  142.4  232.6  549.2  1314.0
1930  204.3   31.5   81.4   88.8   61.7   35.9   96.8  133.8  148.5  158.5  168.3  154.2   515.9  232.0  266.5  475.4  1363.8
1931  114.2  104.5   47.3   87.2  115.5  104.3  141.1  126.7   66.2   36.3  226.6   69.5   372.9  250.1  372.2  329.1  1239.6
1932  161.7    2.0   74.8   98.0  127.2   58.6  107.3   45.3  138.2  232.6   90.1   92.3   233.2  300.0  211.1  460.9  1228.0
1933  101.3  125.6  106.4   49.1   60.8   64.4   79.9   43.8   54.9  152.5   34.1   50.4   319.2  216.3  188.2  241.4   923.2
1934  126.4   10.7   93.7   88.3   55.3   50.1   28.9  116.2   99.7  110.2   59.5  307.4   187.5  237.3  195.2  269.3  1146.3
1935   36.8  134.2   37.5  146.8   50.7  125.8   21.7   67.8  163.9  167.8  194.3  131.9   478.4  235.0  215.3  525.9  1279.1
1936  165.1   91.7  100.8   76.6   33.5   89.9  199.0   22.5   98.1   64.6  133.9  150.6   388.7  211.0  311.4  296.6  1226.3
1937  191.8  200.8  121.8   90.7   65.4   39.4   81.0   34.2   89.1  108.3   65.7  109.3   543.2  277.8  154.6  263.1  1197.5
1938  167.4   50.9   16.4    5.3   86.7   70.8  110.8  126.7   60.0  167.0  200.4  135.5   327.6  108.3  308.3  427.4  1197.9
1939  200.1   90.0   55.1   86.4   26.1   79.0  205.4   92.2   28.0  104.1  248.0   84.2   425.5  167.7  376.5  380.1  1298.4
1940   94.1  124.4   91.5   80.3   50.8   23.2  115.0    9.6   59.6  143.5  260.3  107.3   302.6  222.7  147.8  463.4  1159.6
1941  117.7  130.6  102.2   42.7   70.6   49.4   63.6  144.5   25.9   86.3   88.7  100.5   355.6  215.5  257.5  200.9  1022.7
1942  145.3   14.0   90.7   59.7  165.0   14.6   83.4  121.7   99.3  110.2   31.8  175.0   259.8  315.4  219.7  241.3  1110.7
1943  222.4   73.4   34.7   37.8  112.6   72.5   86.3  110.4  129.0  125.8   93.4   85.6   470.8  185.1  269.1  348.2  1183.8
1944  114.4   34.1   11.2   69.0   39.9   79.5   83.7   92.9  103.5  166.7  221.1  111.3   234.1  120.0  256.1  491.2  1127.2
1945  102.1  124.1   47.6   48.0  105.8  116.7   93.1   80.4   87.7  129.2   30.4  182.9   337.5  201.5  290.2  247.4  1148.2
1946  145.3  110.5   47.4   58.4  116.2  110.5   63.4  171.2  177.0   58.6  215.3  145.3   438.6  222.0  345.1  450.8  1419.0
1947  123.1   55.4  239.7   96.3   85.9   76.9   77.6   25.1   61.3   36.6  113.9  112.4   323.8  421.9  179.6  211.8  1104.2
1948  244.3   63.6   57.3   69.9   85.4   88.6   61.9  130.1   93.1  124.5   79.2  204.2   420.3  212.6  280.6  296.8  1302.1
1949   48.1   54.6   53.9   81.4   90.1   19.3   51.0   67.8   83.4  224.6  155.7  106.3   306.9  225.4  138.1  463.7  1036.2
1950   41.3  209.0   65.5   84.5   59.1   51.3  131.6  191.8  188.8   67.3  203.5  108.1   356.6  209.1  374.6  459.6  1401.7
